"Componenet","Tool","Image","CVE","Severity","Package","Affected Version","Fix Version","Summary"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-15467","Critical","libcrypto3","3.3.3-r0","3.3.6-r0","A critical vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-15467","Critical","libssl3","3.3.3-r0","3.3.6-r0","A critical vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2026-22796","Medium","libcrypto3","3.3.3-r0","3.3.6-r0","A medium vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2026-22796","Medium","libssl3","3.3.3-r0","3.3.6-r0","A medium vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-60876","Medium","busybox","1.37.0-r12","","A medium vulnerability in apk package: busybox, version 1.37.0-r12 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-60876","Medium","busybox-binsh","1.37.0-r12","","A medium vulnerability in apk package: busybox-binsh, version 1.37.0-r12 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-60876","Medium","ssl_client","1.37.0-r12","","A medium vulnerability in apk package: ssl_client, version 1.37.0-r12 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69420","High","libcrypto3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69420","High","libssl3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69419","High","libcrypto3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69419","High","libssl3","3.3.3-r0","3.3.6-r0","A high vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-9230","High","libcrypto3","3.3.3-r0","3.3.5-r0","A high vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-9230","High","libssl3","3.3.3-r0","3.3.5-r0","A high vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2026-22795","Low","libcrypto3","3.3.3-r0","3.3.6-r0","A low vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2026-22795","Low","libssl3","3.3.3-r0","3.3.6-r0","A low vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-9232","Medium","libcrypto3","3.3.3-r0","3.3.5-r0","A medium vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-9232","Medium","libssl3","3.3.3-r0","3.3.5-r0","A medium vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-68160","Medium","libcrypto3","3.3.3-r0","3.3.6-r0","A medium vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-68160","Medium","libssl3","3.3.3-r0","3.3.6-r0","A medium vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69421","Low","libcrypto3","3.3.3-r0","3.3.6-r0","A low vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69421","Low","libssl3","3.3.3-r0","3.3.6-r0","A low vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-15468","Medium","libcrypto3","3.3.3-r0","3.3.6-r0","A medium vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-15468","Medium","libssl3","3.3.3-r0","3.3.6-r0","A medium vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-66199","Medium","libcrypto3","3.3.3-r0","3.3.6-r0","A medium vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-66199","Medium","libssl3","3.3.3-r0","3.3.6-r0","A medium vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-46394","Low","busybox","1.37.0-r12","1.37.0-r14","A low vulnerability in apk package: busybox, version 1.37.0-r12 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-46394","Low","busybox-binsh","1.37.0-r12","1.37.0-r14","A low vulnerability in apk package: busybox-binsh, version 1.37.0-r12 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-46394","Low","ssl_client","1.37.0-r12","1.37.0-r14","A low vulnerability in apk package: ssl_client, version 1.37.0-r12 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-9231","Medium","libcrypto3","3.3.3-r0","3.3.5-r0","A medium vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-9231","Medium","libssl3","3.3.3-r0","3.3.5-r0","A medium vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69418","Medium","libcrypto3","3.3.3-r0","3.3.6-r0","A medium vulnerability in apk package: libcrypto3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2025-69418","Medium","libssl3","3.3.3-r0","3.3.6-r0","A medium vulnerability in apk package: libssl3, version 3.3.3-r0 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2024-58251","Low","busybox","1.37.0-r12","1.37.0-r14","A low vulnerability in apk package: busybox, version 1.37.0-r12 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2024-58251","Low","busybox-binsh","1.37.0-r12","1.37.0-r14","A low vulnerability in apk package: busybox-binsh, version 1.37.0-r12 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-logging-operator","grype","docker.io/alpine:3.21.3","CVE-2024-58251","Low","ssl_client","1.37.0-r12","1.37.0-r14","A low vulnerability in apk package: ssl_client, version 1.37.0-r12 was found in image docker.io/alpine:3.21.3 at: /lib/apk/db/installed"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2024-56433","Low","login","1:4.8.1-2ubuntu2.2","","A low vulnerability in deb package: login, version 1:4.8.1-2ubuntu2.2 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2024-56433","Low","passwd","1:4.8.1-2ubuntu2.2","","A low vulnerability in deb package: passwd, version 1:4.8.1-2ubuntu2.2 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2023-7008","Medium","libsystemd0","249.11-0ubuntu3.16","","A low vulnerability in deb package: libsystemd0, version 249.11-0ubuntu3.16 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2023-7008","Medium","libudev1","249.11-0ubuntu3.16","","A low vulnerability in deb package: libudev1, version 249.11-0ubuntu3.16 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2021-46848","Critical","libtasn1-6","4.18.0-4ubuntu0.1","4.18.0-4ubuntu0.2","A low vulnerability in deb package: libtasn1-6, version 4.18.0-4ubuntu0.1 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
